No,양식장,날짜,라벨,라벨2(어장_수조_샘플번호_날짜_길이_무게_사이즈),체장(mm),체중(g),수조번호,사육미수,일일폐사량,사료정보,일일 사료 급이량(KG),투약일자,약품명,투여량(ML 또는 L),투여단위,투여방법,기타사항,검출 병원체
2803,TP,221006,TP100609,F04_U01_O2803_D2022-10-06_L405_W0534_S3,405,534,C5,3200 ,5,생사료(MP),100,,,,,,,00000006
2804,TP,221006,TP100610,F04_U01_O2804_D2022-10-06_L400_W0471_S2,400,471,F1,3500 ,2,생사료(MP),100,,,,,,,00000613
2805,TP,221006,TP100611,F04_U01_O2805_D2022-10-06_L290_W0208_S2,290,208,F1,3500 ,2,생사료(MP),100,,,,,,,00000006
2806,TP,221006,TP100612,F04_U01_O2806_D2022-10-06_L410_W0625_S3,410,625,F1,3500 ,2,생사료(MP),100,,,,,,,00000613
2807,TP,221006,TP100613,F04_U01_O2807_D2022-10-06_L340_W0350_S2,340,350,F2,3200 ,10,생사료(MP),70,,,,,,,00000617
2808,TP,221006,TP100614,F04_U01_O2808_D2022-10-06_L350_W0391_S2,350,391,F2,3200 ,10,생사료(MP),70,,,,,,,00000617
2809,TP,221006,TP100615,F04_U01_O2809_D2022-10-06_L370_W0497_S2,370,497,F2,3200 ,10,생사료(MP),70,,,,,,,00000613
2810,TP,221006,TP100616,F04_U01_O2810_D2022-10-06_L390_W0442_S2,390,442,F3,3200 ,4,생사료(MP),100,,,,,,,00000607
2811,TP,221006,TP100617,F04_U01_O2811_D2022-10-06_L335_W0348_S2,335,348,F3,3200 ,4,생사료(MP),100,,,,,,,00000607
2812,TP,221006,TP100618,F04_U01_O2812_D2022-10-06_L440_W0762_S3,440,762,F3,3200 ,4,생사료(MP),100,,,,,,,00060718
2813,IC,221006,IC100601,F02_U01_O2813_D2022-10-06_L400_W0643_S3,400,643,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2814,IC,221006,IC100602,F02_U01_O2814_D2022-10-06_L415_W0649_S3,415,649,F8,1000 ,0,생사료(MP),30,,,,,,,00000018
2815,IC,221006,IC100603,F02_U01_O2815_D2022-10-06_L400_W0657_S3,400,657,F8,1000 ,0,생사료(MP),30,,,,,,,00000017
2816,IC,221006,IC100604,F02_U01_O2816_D2022-10-06_L340_W0369_S2,340,369,F8,1000 ,0,생사료(MP),30,,,,,,,00000017
2817,IC,221006,IC100605,F02_U01_O2817_D2022-10-06_L395_W0632_S3,395,632,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2818,IC,221006,IC100606,F02_U01_O2818_D2022-10-06_L430_W0805_S3,430,805,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2819,IC,221006,IC100607,F02_U01_O2819_D2022-10-06_L400_W0725_S3,400,725,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2820,IC,221006,IC100608,F02_U01_O2820_D2022-10-06_L380_W0586_S3,380,586,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2821,IC,221006,IC100609,F02_U01_O2821_D2022-10-06_L450_W0913_S3,450,913,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2822,IC,221006,IC100610,F02_U01_O2822_D2022-10-06_L410_W0798_S3,410,798,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2823,IC,221006,IC100611,F02_U01_O2823_D2022-10-06_L390_W0603_S3,390,603,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2824,IC,221006,IC100612,F02_U01_O2824_D2022-10-06_L390_W0514_S3,390,514,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2825,IC,221006,IC100613,F02_U01_O2825_D2022-10-06_L415_W0632_S3,415,632,F8,1000 ,0,생사료(MP),30,,,,,,,00000021
2826,IC,221006,IC100614,F02_U01_O2826_D2022-10-06_L420_W0601_S3,420,601,F8,1000 ,0,생사료(MP),30,,,,,,,00000002
2827,OS,221011,OS101101,F01_U01_O2827_D2022-10-11_L365_W0356_S2,365,356,B2,3300 ,4,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000607
2828,OS,221011,OS101102,F01_U01_O2828_D2022-10-11_L370_W0455_S2,370,455,B2,3300 ,4,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000607
2829,OS,221011,OS101103,F01_U01_O2829_D2022-10-11_L350_W0387_S2,350,387,B3,3500 ,2,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000607
2830,OS,221011,OS101104,F01_U01_O2830_D2022-10-11_L350_W0330_S2,350,330,B3,3500 ,2,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00060711
2831,OS,221011,OS101105,F01_U01_O2831_D2022-10-11_L390_W0528_S3,390,528,B3,3500 ,2,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00060713
2832,OS,221011,OS101106,F01_U01_O2832_D2022-10-11_L350_W0400_S2,350,400,B3,3500 ,2,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000607
2833,OS,221011,OS101107,F01_U01_O2833_D2022-10-11_L375_W0488_S2,375,488,B4,3500 ,6,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000607
2834,OS,221011,OS101108,F01_U01_O2834_D2022-10-11_L365_W0479_S2,365,479,B4,3500 ,6,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00060711
2835,OS,221011,OS101109,F01_U01_O2835_D2022-10-11_L400_W0539_S3,400,539,B4,3500 ,6,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00060713
2836,OS,221011,OS101110,F01_U01_O2836_D2022-10-11_L330_W0366_S2,330,366,E1,3500 ,5,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000007
2837,OS,221011,OS101111,F01_U01_O2837_D2022-10-11_L345_W0380_S2,345,380,E1,3500 ,5,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000007
2838,OS,221011,OS101112,F01_U01_O2838_D2022-10-11_L345_W0359_S2,345,359,E1,3500 ,5,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000607
2839,OS,221011,OS101113,F01_U01_O2839_D2022-10-11_L295_W0217_S2,295,217,E2,3500 ,6,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000006
2840,OS,221011,OS101114,F01_U01_O2840_D2022-10-11_L345_W0338_S2,345,338,E2,3500 ,6,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000006
2841,OS,221011,OS101115,F01_U01_O2841_D2022-10-11_L350_W0287_S2,350,287,E2,3500 ,6,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000619
2842,OS,221011,OS101116,F01_U01_O2842_D2022-10-11_L315_W0213_S2,315,213,E3,3500 ,4,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000006
2843,OS,221011,OS101117,F01_U01_O2843_D2022-10-11_L355_W0423_S2,355,423,E3,3500 ,4,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000006
2844,OS,221011,OS101118,F01_U01_O2844_D2022-10-11_L315_W0284_S2,315,284,E3,3500 ,4,,,2022-10-11,아목사실린,0.1,ml/kg,근육주사,,00000611
2845,HM,221011,HM101101,F03_U01_O2845_D2022-10-11_L315_W0308_S2,315,308,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2846,HM,221011,HM101102,F03_U01_O2846_D2022-10-11_L325_W0305_S2,325,305,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2847,HM,221011,HM101103,F03_U01_O2847_D2022-10-11_L315_W0342_S2,315,342,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2848,HM,221011,HM101104,F03_U01_O2848_D2022-10-11_L340_W0385_S2,340,385,A3,4000 ,5,생사료(MP),120,,,,,,,00000001
2849,HM,221011,HM101105,F03_U01_O2849_D2022-10-11_L325_W0397_S2,325,397,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2850,HM,221011,HM101106,F03_U01_O2850_D2022-10-11_L280_W0217_S2,280,217,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2851,HM,221011,HM101107,F03_U01_O2851_D2022-10-11_L340_W0386_S2,340,386,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2852,HM,221011,HM101108,F03_U01_O2852_D2022-10-11_L325_W0367_S2,325,367,A3,4000 ,5,생사료(MP),120,,,,,,,00000108
2853,HM,221011,HM101109,F03_U01_O2853_D2022-10-11_L340_W0407_S2,340,407,A3,4000 ,5,생사료(MP),120,,,,,,,00000008
2854,HM,221011,HM101110,F03_U01_O2854_D2022-10-11_L360_W0506_S3,360,506,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2855,HM,221011,HM101111,F03_U01_O2855_D2022-10-11_L335_W0385_S2,335,385,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2856,HM,221011,HM101112,F03_U01_O2856_D2022-10-11_L345_W0423_S2,345,423,A3,4000 ,5,생사료(MP),120,,,,,,,00001317
2857,HM,221011,HM101113,F03_U01_O2857_D2022-10-11_L325_W0391_S2,325,391,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2858,HM,221011,HM101114,F03_U01_O2858_D2022-10-11_L290_W0289_S2,290,289,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2859,HM,221011,HM101115,F03_U01_O2859_D2022-10-11_L330_W0385_S2,330,385,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2860,HM,221011,HM101116,F03_U01_O2860_D2022-10-11_L315_W0322_S2,315,322,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2861,HM,221011,HM101117,F03_U01_O2861_D2022-10-11_L330_W0398_S2,330,398,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2862,HM,221011,HM101118,F03_U01_O2862_D2022-10-11_L330_W0328_S2,330,328,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2863,HM,221011,HM101119,F03_U01_O2863_D2022-10-11_L330_W0385_S2,330,385,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2864,HM,221011,HM101120,F03_U01_O2864_D2022-10-11_L300_W0333_S2,300,333,A3,4000 ,5,생사료(MP),120,,,,,,,00000021
2865,IC,221011,IC101101,F02_U01_O2865_D2022-10-11_L390_W0663_S3,390,663,F9,600 ,0,,40,,,,,,,00000021
2866,IC,221011,IC101102,F02_U01_O2866_D2022-10-11_L330_W0411_S2,330,411,F9,600 ,0,생사료(MP),40,,,,,,,00000021
2867,IC,221011,IC101103,F02_U01_O2867_D2022-10-11_L395_W0692_S3,395,692,F9,600 ,0,생사료(MP),40,,,,,,,00000021
2868,IC,221011,IC101104,F02_U01_O2868_D2022-10-11_L415_W0794_S3,415,794,F9,600 ,0,생사료(MP),40,,,,,,,00000021
2869,IC,221011,IC101105,F02_U01_O2869_D2022-10-11_L395_W0557_S3,395,557,F9,600 ,0,생사료(MP),40,,,,,,,00000021
2870,IC,221011,IC101106,F02_U01_O2870_D2022-10-11_L340_W0436_S2,340,436,F9,600 ,0,생사료(MP),40,,,,,,,00000021
2871,IC,221011,IC101107,F02_U01_O2871_D2022-10-11_L400_W0687_S3,400,687,F9,600 ,0,생사료(MP),40,,,,,,,00000006
2872,IC,221011,IC101108,F02_U01_O2872_D2022-10-11_L435_W0848_S3,435,848,F9,600 ,0,,40,,,,,,,00000006
2873,IC,221011,IC101109,F02_U01_O2873_D2022-10-11_L365_W0451_S2,365,451,F9,600 ,0,생사료(MP),40,,,,,,,00000006
2874,IC,221011,IC101110,F02_U01_O2874_D2022-10-11_L350_W0453_S2,350,453,F9,600 ,0,생사료(MP),40,,,,,,,00000021
2875,IC,221011,IC101111,F02_U01_O2875_D2022-10-11_L370_W0480_S2,370,480,F9,600 ,0,생사료(MP),40,,,,,,,00000021
2876,IC,221011,IC101112,F02_U01_O2876_D2022-10-11_L385_W0529_S3,385,529,F9,600 ,0,생사료(MP),40,,,,,,,00000021
2877,HM,221012,HM101201,F03_U01_O2877_D2022-10-12_L330_W0397_S2,330,397,A7,3800 ,2,생사료(MP),110,,,,,,,00000021
2878,HM,221012,HM101202,F03_U01_O2878_D2022-10-12_L360_W0473_S2,360,473,A7,3800 ,2,생사료(MP),110,,,,,,,00000021
2879,HM,221012,HM101203,F03_U01_O2879_D2022-10-12_L310_W0262_S2,310,262,A7,3800 ,2,생사료(MP),110,,,,,,,00000021
2880,HM,221012,HM101204,F03_U01_O2880_D2022-10-12_L320_W0289_S2,320,289,A7,3800 ,2,생사료(MP),110,,,,,,,00000021
2881,HM,221012,HM101205,F03_U01_O2881_D2022-10-12_L325_W0357_S2,325,357,A7,3800 ,2,생사료(MP),110,,,,,,,00000021
2882,HM,221012,HM101206,F03_U01_O2882_D2022-10-12_L305_W0269_S2,305,269,A7,3800 ,2,생사료(MP),110,,,,,,,00000021
2883,HM,221012,HM101207,F03_U01_O2883_D2022-10-12_L340_W0390_S2,340,390,A7,3800 ,2,생사료(MP),110,,,,,,,00000021
2884,HM,221012,HM101208,F03_U01_O2884_D2022-10-12_L350_W0423_S2,350,423,A7,3800 ,2,생사료(MP),110,,,,,,,00000021
